"","Accession","Description"
"31","Q31125","Zinc transporter SLC39A7 OS=Mus musculus OX=10090 GN=Slc39a7 PE=1 SV=2"
"32","Q8R104","NAD-dependent protein deacetylase sirtuin-3 OS=Mus musculus OX=10090 GN=Sirt3 PE=1 SV=2"
"33","Q00417","Transcription factor 7 OS=Mus musculus OX=10090 GN=Tcf7 PE=2 SV=2"
"34","Q8BH82","N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Mus musculus OX=10090 GN=Napepld PE=1 SV=1"
"35","Q3UHI4","Protein TMED8 OS=Mus musculus OX=10090 GN=Tmed8 PE=2 SV=1"
"36","P01901","H-2 class I histocompatibility antigen, K-B alpha chain OS=Mus musculus OX=10090 GN=H2-K1 PE=1 SV=1"
"37","P13745","Glutathione S-transferase A1 OS=Mus musculus OX=10090 GN=Gsta1 PE=1 SV=2"
"38","Q8R1F5","Putative hydroxypyruvate isomerase OS=Mus musculus OX=10090 GN=Hyi PE=1 SV=2"
"39","Q03141","MAP/microtubule affinity-regulating kinase 3 OS=Mus musculus OX=10090 GN=Mark3 PE=1 SV=2"
"40","Q921C3","Bromodomain and WD repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Brwd1 PE=1 SV=2"
"41","Q3UBZ5","MIF4G domain-containing protein OS=Mus musculus OX=10090 GN=Mif4gd PE=1 SV=1"
"42","Q9DB28","Ribonuclease P/MRP protein subunit POP5 OS=Mus musculus OX=10090 GN=Pop5 PE=1 SV=1"
"43","P23804","E3 ubiquitin-protein ligase Mdm2 OS=Mus musculus OX=10090 GN=Mdm2 PE=1 SV=3"
"44","Q99LM2","CDK5 regulatory subunit-associated protein 3 OS=Mus musculus OX=10090 GN=Cdk5rap3 PE=1 SV=1"
"45","Q7TMY4","THO complex subunit 7 homolog OS=Mus musculus OX=10090 GN=Thoc7 PE=1 SV=2"
"46","P53026","60S ribosomal protein L10a OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=3"
"47","P12970","60S ribosomal protein L7a OS=Mus musculus OX=10090 GN=Rpl7a PE=1 SV=2"
"48","P46467","Vacuolar protein sorting-associated protein 4B OS=Mus musculus OX=10090 GN=Vps4b PE=1 SV=2"
"49","Q80TN7","Neuron navigator 3 OS=Mus musculus OX=10090 GN=Nav3 PE=1 SV=2"
"50","Q9DC04","Regulator of G-protein signaling 3 OS=Mus musculus OX=10090 GN=Rgs3 PE=1 SV=2"
"51","Q9D1C9","Ribosomal RNA-processing protein 7 homolog A OS=Mus musculus OX=10090 GN=Rrp7a PE=2 SV=1"
"52","A2AKX3","Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1"
"53","Q9DBA6","Peroxisomal leader peptide-processing protease OS=Mus musculus OX=10090 GN=Tysnd1 PE=1 SV=1"
"54","O70421","Frizzled-1 OS=Mus musculus OX=10090 GN=Fzd1 PE=1 SV=3"
"55","Q3UQ44","Ras GTPase-activating-like protein IQGAP2 OS=Mus musculus OX=10090 GN=Iqgap2 PE=1 SV=2"
"56","Q924N4","Solute carrier family 12 member 6 OS=Mus musculus OX=10090 GN=Slc12a6 PE=1 SV=2"
"57","O70475","UDP-glucose 6-dehydrogenase OS=Mus musculus OX=10090 GN=Ugdh PE=1 SV=1"
"58","Q9CR95","Adaptin ear-binding coat-associated protein 1 OS=Mus musculus OX=10090 GN=Necap1 PE=1 SV=2"
"59","Q61140","Breast cancer anti-estrogen resistance protein 1 OS=Mus musculus OX=10090 GN=Bcar1 PE=1 SV=2"
"60","Q8C761","WD repeat-containing protein 60 OS=Mus musculus OX=10090 GN=Wdr60 PE=1 SV=1"
"61","Q8BH59","Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus OX=10090 GN=Slc25a12 PE=1 SV=1"
"62","Q63829","COMM domain-containing protein 3 OS=Mus musculus OX=10090 GN=Commd3 PE=1 SV=1"
"63","Q8BG81","Polymerase delta-interacting protein 3 OS=Mus musculus OX=10090 GN=Poldip3 PE=1 SV=1"
"64","Q9DD06","Retinoic acid receptor responder protein 2 OS=Mus musculus OX=10090 GN=Rarres2 PE=1 SV=1"
"65","Q9CQ19","Myosin regulatory light polypeptide 9 OS=Mus musculus OX=10090 GN=Myl9 PE=1 SV=3"
"66","Q9R207","Nibrin OS=Mus musculus OX=10090 GN=Nbn PE=1 SV=1"
"67","Q9DCB1","High mobility group nucleosome-binding domain-containing protein 3 OS=Mus musculus OX=10090 GN=Hmgn3 PE=1 SV=1"
"68","Q8C2B3","Histone deacetylase 7 OS=Mus musculus OX=10090 GN=Hdac7 PE=1 SV=2"
"69","Q8BMA6","Signal recognition particle subunit SRP68 OS=Mus musculus OX=10090 GN=Srp68 PE=1 SV=2"
"70","Q9QUH0","Glutaredoxin-1 OS=Mus musculus OX=10090 GN=Glrx PE=1 SV=3"
"71","Q9EQG9","Collagen type IV alpha-3-binding protein OS=Mus musculus OX=10090 GN=Col4a3bp PE=1 SV=1"
"72","Q9DCL4","Probable methyltransferase-like protein 15 OS=Mus musculus OX=10090 GN=Mettl15 PE=1 SV=2"
"73","Q3UMT1","Protein phosphatase 1 regulatory subunit 12C OS=Mus musculus OX=10090 GN=Ppp1r12c PE=1 SV=1"
"74","P70670","Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Mus musculus OX=10090 GN=Naca PE=1 SV=2"
"75","Q7TPC1","Corneodesmosin OS=Mus musculus OX=10090 GN=Cdsn PE=2 SV=2"
"76","Q8BH01","Transmembrane and coiled-coil domain-containing protein 3 OS=Mus musculus OX=10090 GN=Tmco3 PE=2 SV=1"
"77","Q9JLV6","Bifunctional polynucleotide phosphatase/kinase OS=Mus musculus OX=10090 GN=Pnkp PE=1 SV=2"
"78","Q64523","Histone H2A type 2-C OS=Mus musculus OX=10090 GN=Hist2h2ac PE=1 SV=3"
"79","P43274","Histone H1.4 OS=Mus musculus OX=10090 GN=Hist1h1e PE=1 SV=2"
"80","Q8R2Y3","Dolichol kinase OS=Mus musculus OX=10090 GN=Dolk PE=1 SV=1"
"81","Q6P5G6","UBX domain-containing protein 7 OS=Mus musculus OX=10090 GN=Ubxn7 PE=1 SV=2"
"82","Q9CQR4","Acyl-coenzyme A thioesterase 13 OS=Mus musculus OX=10090 GN=Acot13 PE=1 SV=1"
"83","Q8VCQ6","Phosphatidylcholine:ceramide cholinephosphotransferase 1 OS=Mus musculus OX=10090 GN=Sgms1 PE=1 SV=2"
"84","Q6NXI6","Regulation of nuclear pre-mRNA domain-containing protein 2 OS=Mus musculus OX=10090 GN=Rprd2 PE=1 SV=1"
"85","B2RXS4","Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1"
"86","P11859","Angiotensinogen OS=Mus musculus OX=10090 GN=Agt PE=1 SV=1"
"87","Q80U70","Polycomb protein Suz12 OS=Mus musculus OX=10090 GN=Suz12 PE=1 SV=2"
"88","Q9CR89","Endoplasmic reticulum-Golgi intermediate compartment protein 2 OS=Mus musculus OX=10090 GN=Ergic2 PE=1 SV=1"
"89","Q9DCL9","Multifunctional protein ADE2 OS=Mus musculus OX=10090 GN=Paics PE=1 SV=4"
"90","Q91WD5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial OS=Mus musculus OX=10090 GN=Ndufs2 PE=1 SV=1"
"91","Q91WM1","Spermatid perinuclear RNA-binding protein OS=Mus musculus OX=10090 GN=Strbp PE=1 SV=1"
"92","P52875","Transmembrane protein 165 OS=Mus musculus OX=10090 GN=Tmem165 PE=1 SV=2"
"93","Q99LH4","Zinc finger protein 672 OS=Mus musculus OX=10090 GN=Znf672 PE=2 SV=1"
"94","P70677","Caspase-3 OS=Mus musculus OX=10090 GN=Casp3 PE=1 SV=1"
"95","Q922V4","Pleiotropic regulator 1 OS=Mus musculus OX=10090 GN=Plrg1 PE=1 SV=1"
"96","Q8BFU2","Histone H2A type 3 OS=Mus musculus OX=10090 GN=Hist3h2a PE=1 SV=3"
"97","Q3TCJ8","Coiled-coil domain-containing protein 69 OS=Mus musculus OX=10090 GN=Ccdc69 PE=1 SV=1"
"98","Q8VCC2","Liver carboxylesterase 1 OS=Mus musculus OX=10090 GN=Ces1 PE=1 SV=1"
"99","Q8BU03","Periodic tryptophan protein 2 homolog OS=Mus musculus OX=10090 GN=Pwp2 PE=1 SV=1"
"100","Q9QZD8","Mitochondrial dicarboxylate carrier OS=Mus musculus OX=10090 GN=Slc25a10 PE=1 SV=2"
"101","Q99MR1","GRB10-interacting GYF protein 1 OS=Mus musculus OX=10090 GN=Gigyf1 PE=1 SV=2"
"102","Q9CYR0","Single-stranded DNA-binding protein, mitochondrial OS=Mus musculus OX=10090 GN=Ssbp1 PE=1 SV=1"
"103","Q6GQV7","Erythroid differentiation-related factor 1 OS=Mus musculus OX=10090 GN=Edrf1 PE=1 SV=1"
"104","Q01063","cAMP-specific 3',5'-cyclic phosphodiesterase 4D OS=Mus musculus OX=10090 GN=Pde4d PE=1 SV=2"
"105","Q922E4","Ethanolamine-phosphate cytidylyltransferase OS=Mus musculus OX=10090 GN=Pcyt2 PE=1 SV=1"
"106","Q9CXE2","B-cell CLL/lymphoma 7 protein family member A OS=Mus musculus OX=10090 GN=Bcl7a PE=2 SV=1"
"107","P49722","Proteasome subunit alpha type-2 OS=Mus musculus OX=10090 GN=Psma2 PE=1 SV=3"
"108","P20029","Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3"
"109","Q8BHE8","m-AAA protease-interacting protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Maip1 PE=1 SV=1"
"110","Q6NS46","Protein RRP5 homolog OS=Mus musculus OX=10090 GN=Pdcd11 PE=1 SV=2"
"111","P26149","3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2 OS=Mus musculus OX=10090 GN=Hsd3b2 PE=1 SV=4"
"112","Q9ERN0","Secretory carrier-associated membrane protein 2 OS=Mus musculus OX=10090 GN=Scamp2 PE=1 SV=1"
"113","A2ABU4","Myomesin-3 OS=Mus musculus OX=10090 GN=Myom3 PE=1 SV=1"
"114","Q9D8S4","Oligoribonuclease, mitochondrial OS=Mus musculus OX=10090 GN=Rexo2 PE=1 SV=2"
"115","P61027","Ras-related protein Rab-10 OS=Mus musculus OX=10090 GN=Rab10 PE=1 SV=1"
"116","B1ATG9","Metalloprotease TIKI2 OS=Mus musculus OX=10090 GN=Trabd2b PE=2 SV=1"
"117","Q6ZPR5","Sphingomyelin phosphodiesterase 4 OS=Mus musculus OX=10090 GN=Smpd4 PE=1 SV=2"
"118","Q9EST5","Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Mus musculus OX=10090 GN=Anp32b PE=1 SV=1"
"119","Q8R3Q6","Coiled-coil domain-containing protein 58 OS=Mus musculus OX=10090 GN=Ccdc58 PE=1 SV=1"
"120","Q7TQE6","Macoilin OS=Mus musculus OX=10090 GN=Maco1 PE=1 SV=1"
"121","Q60992","Guanine nucleotide exchange factor VAV2 OS=Mus musculus OX=10090 GN=Vav2 PE=1 SV=1"
"122","Q5U680","S-adenosylmethionine mitochondrial carrier protein OS=Mus musculus OX=10090 GN=Slc25a26 PE=1 SV=2"
"123","Q8R3N6","THO complex subunit 1 OS=Mus musculus OX=10090 GN=Thoc1 PE=1 SV=1"
"124","Q62511","E3 ubiquitin-protein ligase ZFP91 OS=Mus musculus OX=10090 GN=Zfp91 PE=1 SV=3"
"125","E9PYI1","Zinc finger protein 568 OS=Mus musculus OX=10090 GN=Znf568 PE=1 SV=1"
"126","cRAP052","Keratin, type I microfibrillar, 47.6 kDa OS=Ovis aries PE=3 SV=2"
"127","P56399","Ubiquitin carboxyl-terminal hydrolase 5 OS=Mus musculus OX=10090 GN=Usp5 PE=1 SV=1"
"128","Q64727","Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4"
"129","Q99JG7","TNFAIP3-interacting protein 2 OS=Mus musculus OX=10090 GN=Tnip2 PE=1 SV=1"
"130","Q8CIP5","Protein dispatched homolog 2 OS=Mus musculus OX=10090 GN=Disp2 PE=1 SV=1"
"131","P11798","Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus OX=10090 GN=Camk2a PE=1 SV=2"
"132","Q99LE3","LysM and putative peptidoglycan-binding domain-containing protein 3 OS=Mus musculus OX=10090 GN=Lysmd3 PE=2 SV=1"
"133","Q9DCD5","Tight junction-associated protein 1 OS=Mus musculus OX=10090 GN=Tjap1 PE=1 SV=1"
"134","Q8K1J5","Replication stress response regulator SDE2 OS=Mus musculus OX=10090 GN=Sde2 PE=1 SV=1"
"135","Q3UGF1","WD repeat-containing protein 19 OS=Mus musculus OX=10090 GN=Wdr19 PE=1 SV=1"
"136","Q62318","Transcription intermediary factor 1-beta OS=Mus musculus OX=10090 GN=Trim28 PE=1 SV=3"
"137","Q9D7J9","Enoyl-CoA hydratase domain-containing protein 3, mitochondrial OS=Mus musculus OX=10090 GN=Echdc3 PE=1 SV=1"
"138","P46735","Unconventional myosin-Ib OS=Mus musculus OX=10090 GN=Myo1b PE=1 SV=3"
"139","Q3TKY6","Spliceosome-associated protein CWC27 homolog OS=Mus musculus OX=10090 GN=Cwc27 PE=1 SV=1"
"140","Q6P8J2","Diamine acetyltransferase 2 OS=Mus musculus OX=10090 GN=Sat2 PE=1 SV=1"
"141","Q60739","BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=3"
"142","Q8R3L2","Transcription factor 25 OS=Mus musculus OX=10090 GN=Tcf25 PE=1 SV=2"
"143","Q8BGT1","Leucine-rich repeat transmembrane protein FLRT3 OS=Mus musculus OX=10090 GN=Flrt3 PE=1 SV=1"
"144","O70325","Phospholipid hydroperoxide glutathione peroxidase OS=Mus musculus OX=10090 GN=Gpx4 PE=1 SV=4"
"145","Q3UMF0","Cordon-bleu protein-like 1 OS=Mus musculus OX=10090 GN=Cobll1 PE=1 SV=2"
"146","Q8CCH2","NHL repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Nhlrc3 PE=1 SV=1"
"147","Q6P5B0","RRP12-like protein OS=Mus musculus OX=10090 GN=Rrp12 PE=1 SV=1"
"148","Q9D0M1","Phosphoribosyl pyrophosphate synthase-associated protein 1 OS=Mus musculus OX=10090 GN=Prpsap1 PE=1 SV=1"
"149","Q9WV92","Band 4.1-like protein 3 OS=Mus musculus OX=10090 GN=Epb41l3 PE=1 SV=1"
"150","Q00731","Vascular endothelial growth factor A OS=Mus musculus OX=10090 GN=Vegfa PE=1 SV=2"
"151","L0N7N1","Kinesin-like protein KIF14 OS=Mus musculus OX=10090 GN=Kif14 PE=1 SV=1"
"152","Q8BZW8","NHL repeat-containing protein 2 OS=Mus musculus OX=10090 GN=Nhlrc2 PE=1 SV=1"
"153","Q5M956","BTB/POZ domain-containing protein KCTD1 OS=Mus musculus OX=10090 GN=Kctd1 PE=1 SV=1"
"154","Q99KR8","Plasma alpha-L-fucosidase OS=Mus musculus OX=10090 GN=Fuca2 PE=1 SV=1"
"155","Q9Z1N5","Spliceosome RNA helicase Ddx39b OS=Mus musculus OX=10090 GN=Ddx39b PE=1 SV=1"
"156","Q61235","Beta-2-syntrophin OS=Mus musculus OX=10090 GN=Sntb2 PE=1 SV=2"
"157","Q6P1H6","Ankyrin repeat and LEM domain-containing protein 2 OS=Mus musculus OX=10090 GN=Ankle2 PE=1 SV=2"
"158","Q922R8","Protein disulfide-isomerase A6 OS=Mus musculus OX=10090 GN=Pdia6 PE=1 SV=3"
"159","Q8BVI5","Syntaxin-16 OS=Mus musculus OX=10090 GN=Stx16 PE=1 SV=3"
"160","Q9Z0P5","Twinfilin-2 OS=Mus musculus OX=10090 GN=Twf2 PE=1 SV=1"
"161","O09005","Sphingolipid delta(4)-desaturase DES1 OS=Mus musculus OX=10090 GN=Degs1 PE=1 SV=1"
"162","Q8K183","Pyridoxal kinase OS=Mus musculus OX=10090 GN=Pdxk PE=1 SV=1"
"163","Q06138","Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2"
"164","Q80U04","E3 ubiquitin-protein ligase Praja-2 OS=Mus musculus OX=10090 GN=Pja2 PE=1 SV=2"
"165","Q9CZ91","Serum response factor-binding protein 1 OS=Mus musculus OX=10090 GN=Srfbp1 PE=1 SV=1"
"166","Q4VC33","E3 ubiquitin-protein transferase MAEA OS=Mus musculus OX=10090 GN=Maea PE=1 SV=1"
"167","Q8CFV9","Riboflavin kinase OS=Mus musculus OX=10090 GN=Rfk PE=1 SV=2"
"168","P09103","Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2"
"169","Q80SU3","Zygote arrest protein 1 OS=Mus musculus OX=10090 GN=Zar1 PE=2 SV=1"
"170","Q9Z2Q6","Septin-5 OS=Mus musculus OX=10090 GN=Sept5 PE=1 SV=2"
"171","Q8VC60","Beta-galactosidase-1-like protein OS=Mus musculus OX=10090 GN=Glb1l PE=1 SV=1"
"172","Q61084","Mitogen-activated protein kinase kinase kinase 3 OS=Mus musculus OX=10090 GN=Map3k3 PE=1 SV=1"
"173","Q9R0Q6","Actin-related protein 2/3 complex subunit 1A OS=Mus musculus OX=10090 GN=Arpc1a PE=1 SV=1"
"174","P56382","ATP synthase subunit epsilon, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1e PE=1 SV=2"
"175","Q9R1S8","Calpain-7 OS=Mus musculus OX=10090 GN=Capn7 PE=2 SV=1"
"176","B2RX14","Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2"
"177","P58404","Striatin-4 OS=Mus musculus OX=10090 GN=Strn4 PE=1 SV=2"
"178","Q3V0C1","Zinc finger matrin-type protein 1 OS=Mus musculus OX=10090 GN=Zmat1 PE=1 SV=2"
"179","Q7TMI3","E3 ubiquitin-protein ligase UHRF2 OS=Mus musculus OX=10090 GN=Uhrf2 PE=1 SV=1"
"180","Q6PAQ4","RNA exonuclease 4 OS=Mus musculus OX=10090 GN=Rexo4 PE=2 SV=2"
"181","Q01320","DNA topoisomerase 2-alpha OS=Mus musculus OX=10090 GN=Top2a PE=1 SV=2"
"182","cRAP043","Keratin, type I cuticular Ha2 OS=Homo sapiens GN=KRT32 PE=1 SV=3"
"183","Q8C754","Vacuolar protein sorting-associated protein 52 homolog OS=Mus musculus OX=10090 GN=Vps52 PE=1 SV=1"
"184","cRAP011","Carbonic anhydrase 2 OS=Bos taurus GN=CA2 PE=1 SV=3"
"185","Q8R2Y2","Cell surface glycoprotein MUC18 OS=Mus musculus OX=10090 GN=Mcam PE=1 SV=1"
"186","cRAP035","Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2"
"187","S4R1M9","Oxysterol-binding protein-related protein 10 OS=Mus musculus OX=10090 GN=Osbpl10 PE=1 SV=1"
"188","Q9CX60","Protein LBH OS=Mus musculus OX=10090 GN=Lbh PE=1 SV=1"
"189","P49718","DNA replication licensing factor MCM5 OS=Mus musculus OX=10090 GN=Mcm5 PE=1 SV=2"
"190","P61759","Prefoldin subunit 3 OS=Mus musculus OX=10090 GN=Vbp1 PE=1 SV=2"
"191","Q3TCH7","Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1"
"192","Q9Z0V7","Mitochondrial import inner membrane translocase subunit Tim17-B OS=Mus musculus OX=10090 GN=Timm17b PE=1 SV=1"
"193","O35639","Annexin A3 OS=Mus musculus OX=10090 GN=Anxa3 PE=1 SV=4"
"194","P01898","H-2 class I histocompatibility antigen, Q10 alpha chain OS=Mus musculus OX=10090 GN=H2-Q10 PE=1 SV=3"
"195","Q9JMC3","DnaJ homolog subfamily A member 4 OS=Mus musculus OX=10090 GN=Dnaja4 PE=1 SV=1"
"196","Q8R527","Rho-related GTP-binding protein RhoQ OS=Mus musculus OX=10090 GN=Rhoq PE=1 SV=2"
"197","Q9CQF8","Ribosomal protein 63, mitochondrial OS=Mus musculus OX=10090 GN=Mrpl57 PE=1 SV=1"
"198","Q8BMD8","Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Mus musculus OX=10090 GN=Slc25a24 PE=1 SV=1"
"199","A2ASS6","Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1"
"200","O70472","Transmembrane protein 131 OS=Mus musculus OX=10090 GN=Tmem131 PE=2 SV=2"
"201","Q61466","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 OS=Mus musculus OX=10090 GN=Smarcd1 PE=1 SV=3"
"202","Q91VK1","Basic leucine zipper and W2 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Bzw2 PE=1 SV=1"
"203","Q924Z4","Ceramide synthase 2 OS=Mus musculus OX=10090 GN=Cers2 PE=1 SV=1"
"204","Q9Z321","DNA topoisomerase 3-beta-1 OS=Mus musculus OX=10090 GN=Top3b PE=1 SV=1"
"205","P06909","Complement factor H OS=Mus musculus OX=10090 GN=Cfh PE=1 SV=2"
"206","Q91ZP3","Phosphatidate phosphatase LPIN1 OS=Mus musculus OX=10090 GN=Lpin1 PE=1 SV=1"
"207","Q8CHE4","PH domain leucine-rich repeat-containing protein phosphatase 1 OS=Mus musculus OX=10090 GN=Phlpp1 PE=1 SV=2"
"208","Q1HKZ5","Mitogen-activated protein kinase kinase kinase 13 OS=Mus musculus OX=10090 GN=Map3k13 PE=1 SV=1"
"209","Q922B2","Aspartate--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Dars PE=1 SV=2"
"210","Q8BSS9","Liprin-alpha-2 OS=Mus musculus OX=10090 GN=Ppfia2 PE=1 SV=2"
"211","Q60847","Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=2 SV=3"
"212","Q810A7","ATP-dependent RNA helicase DDX42 OS=Mus musculus OX=10090 GN=Ddx42 PE=1 SV=3"
"213","Q8R344","Coiled-coil domain-containing protein 12 OS=Mus musculus OX=10090 GN=Ccdc12 PE=1 SV=2"
"214","Q9JL61","DNA-binding protein Rfx5 OS=Mus musculus OX=10090 GN=Rfx5 PE=1 SV=2"
"215","Q3THW5","Histone H2A.V OS=Mus musculus OX=10090 GN=H2afv PE=1 SV=3"
"216","P00342","L-lactate dehydrogenase C chain OS=Mus musculus OX=10090 GN=Ldhc PE=1 SV=2"
"217","Q3V3N7","Bardet-Biedl syndrome 1 protein homolog OS=Mus musculus OX=10090 GN=Bbs1 PE=1 SV=1"
"218","P70349","Histidine triad nucleotide-binding protein 1 OS=Mus musculus OX=10090 GN=Hint1 PE=1 SV=3"
"219","O08579","Emerin OS=Mus musculus OX=10090 GN=Emd PE=1 SV=1"
"220","P63154","Crooked neck-like protein 1 OS=Mus musculus OX=10090 GN=Crnkl1 PE=1 SV=1"
"221","P57725","SAM domain-containing protein SAMSN-1 OS=Mus musculus OX=10090 GN=Samsn1 PE=1 SV=2"
"222","Q64475","Histone H2B type 1-B OS=Mus musculus OX=10090 GN=Hist1h2bb PE=1 SV=3"
"223","Q9D136","2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 OS=Mus musculus OX=10090 GN=Ogfod3 PE=2 SV=1"
"224","P03995","Glial fibrillary acidic protein OS=Mus musculus OX=10090 GN=Gfap PE=1 SV=4"
"225","O35732","CASP8 and FADD-like apoptosis regulator OS=Mus musculus OX=10090 GN=Cflar PE=2 SV=3"
"226","Q08857","Platelet glycoprotein 4 OS=Mus musculus OX=10090 GN=Cd36 PE=1 SV=2"
"227","P52480","Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4"
"228","Q9CQV4","Reticulophagy regulator 3 OS=Mus musculus OX=10090 GN=Retreg3 PE=1 SV=1"
"229","Q08093","Calponin-2 OS=Mus musculus OX=10090 GN=Cnn2 PE=1 SV=1"
"230","Q9ES28","Rho guanine nucleotide exchange factor 7 OS=Mus musculus OX=10090 GN=Arhgef7 PE=1 SV=2"
